paper_ID,GPUs,CPUs
2018/Aberman et al. - 2018 - Neural best-buddies sparse cross-domain correspondence,[],[]
2018/Akbay et al. - 2018 - An extended partitioned method for conservative solid-fluid coupling,[],['AMD Opteron 6272']
2018/Aksoy et al. - 2018 - Semantic soft segmentation,[],[]
2018/Alderighi et al. - 2018 - Metamolds computational design of silicone molds,[],['Intel Core i7-6700K']
2018/Atzmon et al. - 2018 - Point convolutional neural networks by extension operators,['NVIDIA Tesla P100 PCIe 12 GB'],[]
2018/Auzinger et al. - 2018 - Computational design of nanostructural color for additive manufacturing,[],['Intel Xeon E5-1620 v4']
2018/Bailey et al. - 2018 - Fast and deep deformation approximations,[],['Intel Xeon E5-2690 v2']
2018/Barill et al. - 2018 - Fast winding numbers for soups and clouds,[],['Intel Core i7-6950X']
2018/Belcour - 2018 - Efficient rendering of layered materials using an atomic decomposition with statistical operators,['NVIDIA GeForce GTX 980'],[]
2018/Brandt et al. - 2018 - Hyper-reduced projective dynamics,[],[]
2018/Brunton et al. - 2018 - 3D printing spatially varying color and translucency,[],[]
2018/Chen et al. - 2018 - Numerical coarsening using discontinuous shape functions,[],['Intel Xeon E5-2630']
2018/Chen et al. - 2018 - Physical simulation of environmentally induced thin shell deformation,[],['Intel Xeon E3-1270']
2018/Chern et al. - 2018 - Shape from metric,[],[]
2018/Cirio et al. - 2018 - Multi-scale simulation of nonlinear thin-shell sound with wave turbulence,['NVIDIA GeForce GTX 970'],['Intel Xeon E5-1620']
2018/Cui et al. - 2018 - Scalable laplacian eigenfluids,[],[]
2018/Dai et al. - 2018 - Support-free volume printing by multi-axis motion,[],['Intel Xeon E5-1630 v3']
2018/Davis and Agrawala - 2018 - Visual rhythm and beat,[],[]
2018/De Goes and James - 2018 - Dynamic kelvinlets secondary motions based on fundamental solutions of elastodynamics,[],['Intel Xeon E5-2699 v3']
2018/Deschaintre et al. - 2018 - Single-image SVBRDF capture with a rendering-aware deep network,['NVIDIA GeForce GTX TITAN X'],[]
2018/Dinev et al. - 2018 - FEPR fast energy projection for real-time simulation of deformable objects,[],[]
2018/Dvoroz╠îna╠ük et al. - 2018 - Toonsynth example-based synthesis of hand-colored cartoon animations,['NVIDIA GeForce GTX 750 Ti'],[]
2018/Ephrat et al. - 2018 - Looking to listen at the cocktail party a speaker-independent audio-visual model for speech separat,[],[]
2018/Fang et al. - 2018 - Quadrangulation through morse-parameterization hybridization,[],[]
2018/Farchi and Ben-Chen - 2018 - Integer-only cross field computation,['NVIDIA GeForce GTX 1080 Ti'],['Intel Core i7-7820X']
2018/Fei et al. - 2018 - A multi-scale model for simulating liquid-fabric interactions,[],['Intel Xeon E5-2687W']
2018/Feng et al. - 2018 - Curved optimal delaunay triangulation,['NVIDIA GeForce GTX 1060 5 GB'],[]
2018/Gao et al. - 2018 - Animating fluid sediment mixture in particle-laden flows,[],"['Intel Core i7-7700K', 'Intel Core i7-8700K', 'Intel Xeon E3-1270 v3', 'Intel Xeon E3-1241 v3', 'Intel Xeon E5-1650 v3']"
2018/Gebhardt et al. - 2018 - Optimizing for aesthetically pleasing quadrotor camera motion,[],[]
2018/Geilinger et al. - 2018 - Skaterbots optimization-based design and motion synthesis for robotic creatures with legs and wheel,[],[]
2018/Gruson et al. - 2018 - Gradient-domain volumetric photon density estimation,[],['Intel Xeon X5650']
2018/Guo et al. - 2018 - A material point method for thin shells with frictional contact,[],['Intel Xeon E5-2687W']
2018/Han et al. - 2018 - Online optical marker-based hand tracking with deep labels,"['NVIDIA Tesla M40', 'NVIDIA GeForce GTX 1080 Ti']",[]
2018/He et al. - 2018 - Deep exemplar-based colorization,['NVIDIA TITAN Xp'],[]
2018/He et al. - 2018 - Slang language mechanisms for extensible real-time shading systems,['NVIDIA TITAN V'],['Intel Core i7-5820K']
2018/Hedman and Kopf - 2018 - Instant 3D photography,"['NVIDIA GeForce GTX TITAN X', 'NVIDIA GeForce GTX 1060 5 GB']","['Intel Xeon E5-2643', 'Intel Core i7-7700HQ']"
2018/Holden - 2018 - Robust solving of optical motion capture data by denoising,['NVIDIA GeForce GTX 970'],[]
2018/Hoshyari et al. - 2018 - Perception-driven semi-structured boundary vectorization,[],['AMD Ryzen 7 1800X']
2018/Hu et al. - 2018 - A moving least squares material point method with displacement discontinuity and two-way rigid body,[],['Intel Core i7-7700K']
2018/Hu et al. - 2018 - Predictive and generative neural networks for object functionality,[],[]
2018/Hu et al. - 2018 - Tetrahedral meshing in the wild,[],[]
2018/Jarabo et al. - 2018 - A radiative transfer framework for spatially-correlated materials,[],['Intel Core i7-6700K']
2018/Jeschke et al. - 2018 - Water surface wavelets,['NVIDIA GeForce GTX 1070'],[]
2018/Kang et al. - 2018 - Efficient reflectance capture using an autoencoder,['NVIDIA GeForce GTX 1080 Ti'],['Intel Core i7-7700']
2018/Kenzel et al. - 2018 - A high-performance software graphics pipeline architecture for the GPU,"['NVIDIA GeForce GTX 1080', 'NVIDIA GeForce GTX 1080 Ti', 'NVIDIA GeForce GTX 980 Ti']",['Intel Core i7-4930K']
2018/Kim and Park - 2018 - Deep context-aware descreening and rescreening of halftone images,['NVIDIA GeForce GTX 1080 Ti'],['Intel Xeon E5-2686 v3']
2018/Kim et al. - 2018 - Deep video portraits,['NVIDIA TITAN Xp'],['Intel Xeon E5-2637']
2018/Kim et al. - 2018 - Magnetization dynamics for magnetic object interactions,['NVIDIA GeForce GTX 780'],['Intel Core i7-4770']
2018/Konakovic╠ü-Lukovic╠ü et al. - 2018 - Rapid deployment of curved surfaces via programmable auxetics,[],[]
2018/Langbehn et al. - 2018 - In the blink of an eye leveraging blink-induced suppression for imperceptible position and orientat,"['NVIDIA GeForce GTX 980 Ti', 'NVIDIA GeForce GTX 980']",[]
2018/Lazar et al. - 2018 - Robust optimization for topological surface reconstruction,[],[]
2018/Lee et al. - 2018 - Dexterous manipulation and control with volumetric muscles,[],['Intel Core i7-6700K']
2018/Leimku╠êhler et al. - 2018 - Laplacian kernel splatting for efficient depth-of-field and motion blur synthesis or reconstruction,['NVIDIA GeForce GTX 980 Ti'],['Intel Xeon E5-1607 v3']
2018/Li and Barbic╠î - 2018 - Immersion of self-intersecting solids and surfaces,[],[]
2018/Li et al. - 2018 - An implicit frictional contact solver for adaptive cloth simulation,[],['Intel Core i7-5600U']
2018/Li et al. - 2018 - Differentiable programming for image processing and deep learning in halide,"['NVIDIA TITAN Xp', 'NVIDIA TITAN X Pascal']",['Intel Core i7-3770K']
2018/Li et al. - 2018 - Foldsketch enriching garments with physically reproducible folds,[],[]
2018/Li et al. - 2018 - Scene-aware audio for 360┬░ videos,[],[]
2018/Limper et al. - 2018 - Box cutter atlas refinement for efficient packing via void elimination,[],[]
2018/Lin et al. - 2018 - Scale-aware black-and-white abstraction of 3D shapes,['NVIDIA GeForce GTX 1070'],[]
2018/Lindell et al. - 2018 - Single-photon 3D imaging with deep sensor fusion,['NVIDIA GeForce GTX TITAN X'],[]
2018/Liu and Hodgins - 2018 - Learning basketball dribbling skills using trajectory optimization and deep reinforcement learning,[],['Intel Core i5-6500']
2018/Liu et al. - 2018 - Object-aware guidance for autonomous scene reconstruction,['NVIDIA GeForce GTX 1080'],[]
2018/Liu et al. - 2018 - Progressive parameterizations,[],['Intel Core i7-4790K']
2018/Liu et al. - 2018 - Singularity-constrained octahedral fields for hexahedral meshing,[],[]
2018/Liu et al. - 2018 - StrokeAggregator consolidating raw sketches into artist-intended curve drawings,[],[]
2018/Lombardi et al. - 2018 - Deep appearance models for face rendering,"['NVIDIA GeForce GTX 1080', 'NVIDIA Tesla M40']",[]
2018/Ma et al. - 2018 - Fluid directed rigid body control using deep reinforcement learning,['NVIDIA GeForce GTX 1080'],[]
2018/Marti╠ünez et al. - 2018 - Polyhedral voronoi diagrams for additive manufacturing,['NVIDIA GeForce GTX 1080'],['Intel Core i7-6800K']
